iter	Passed	Remaining
0	3	378
1	7	361
2	10	352
3	13	320
4	16	316
5	19	310
6	24	323
7	28	324
8	31	315
9	34	311
10	37	305
11	43	317
12	49	328
13	52	322
14	57	324
15	63	330
16	66	324
17	70	319
18	73	315
19	77	311
20	81	304
21	84	297
22	87	293
23	91	291
24	95	285
25	99	283
26	105	285
27	111	286
28	114	281
29	118	275
30	122	273
31	126	268
32	132	269
33	138	269
34	143	266
35	147	261
36	150	256
37	153	250
38	156	244
39	158	238
40	161	233
41	162	224
42	165	218
43	167	213
44	172	210
45	176	207
46	179	202
47	183	198
48	185	193
49	189	189
50	193	185
51	196	181
52	199	177
53	202	172
54	204	167
55	229	180
56	232	175
57	237	172
58	241	167
59	244	163
60	247	158
61	251	154
62	257	151
63	260	146
64	263	141
65	266	137
66	270	133
67	273	128
68	276	124
69	281	120
70	284	116
71	290	113
72	293	108
73	303	106
74	306	102
75	309	97
76	313	93
77	316	89
78	319	85
79	324	81
80	327	76
81	330	72
82	333	68
83	339	64
84	343	60
85	346	56
86	349	52
87	368	50
88	372	46
89	375	41
90	379	37
91	383	33
92	386	29
93	389	24
94	392	20
95	400	16
96	403	12
97	406	8
98	409	4
99	412	0
