iter	Passed	Remaining
0	157	156911
1	158	79205
2	159	53166
3	161	40112
4	162	32319
5	163	27124
6	164	23400
7	166	20602
8	167	18451
9	169	16752
10	170	15349
11	172	14170
12	173	13156
13	174	12297
14	175	11552
15	177	10888
16	178	10297
17	179	9773
18	180	9302
19	181	8885
20	182	8518
21	183	8172
22	184	7854
23	185	7555
24	186	7279
25	187	7027
26	188	6794
27	189	6575
28	190	6371
29	191	6175
30	191	5996
31	192	5830
32	193	5674
33	194	5524
34	195	5383
35	196	5272
36	198	5157
37	199	5047
38	200	4936
39	201	4827
40	201	4723
41	202	4623
42	203	4527
43	204	4436
44	205	4353
45	206	4272
46	206	4193
47	207	4117
48	208	4044
49	209	3976
50	210	3917
51	211	3863
52	213	3805
53	213	3744
54	214	3686
55	215	3632
56	216	3578
57	217	3525
58	217	3475
59	218	3425
60	219	3382
61	220	3338
62	221	3295
63	222	3254
64	223	3218
65	225	3187
66	226	3151
67	227	3117
68	228	3082
69	229	3046
70	230	3012
71	231	2980
72	232	2948
73	233	2918
74	234	2888
75	235	2858
76	236	2828
77	236	2800
78	237	2772
79	239	2752
80	240	2732
81	242	2711
82	242	2681
83	243	2656
84	244	2632
85	245	2610
86	246	2587
87	249	2580
88	250	2560
89	251	2541
90	252	2519
91	253	2504
92	255	2492
93	256	2475
94	257	2457
95	258	2438
96	259	2420
97	261	2403
98	262	2385
99	263	2367
100	264	2350
101	264	2332
102	265	2315
103	266	2298
104	268	2289
105	269	2275
106	270	2260
107	271	2244
108	272	2228
109	273	2213
110	274	2198
111	275	2184
112	276	2169
113	277	2157
114	278	2145
115	280	2134
116	281	2124
117	284	2122
118	285	2112
119	286	2101
120	287	2089
121	288	2076
122	289	2067
123	291	2057
124	292	2045
125	293	2034
126	294	2021
127	294	2009
128	295	1997
129	297	1990
130	298	1982
131	300	1973
132	301	1962
133	302	1953
134	303	1942
135	304	1932
136	305	1921
137	306	1912
138	307	1902
139	308	1892
140	308	1882
141	309	1870
142	310	1860
143	311	1852
144	313	1846
145	314	1838
146	315	1829
147	316	1820
148	317	1812
149	318	1803
150	319	1794
151	320	1785
152	321	1778
153	322	1770
154	323	1761
155	324	1753
156	325	1746
157	326	1738
158	328	1736
159	330	1732
160	330	1723
161	331	1716
162	332	1709
163	334	1702
164	335	1695
165	336	1689
166	337	1682
167	338	1674
168	339	1667
169	340	1660
170	341	1655
171	342	1650
172	343	1644
173	345	1637
174	345	1630
175	346	1624
176	347	1618
177	348	1611
178	349	1604
179	350	1598
180	351	1592
181	352	1585
182	353	1579
183	355	1574
184	356	1571
185	357	1566
186	359	1561
187	360	1555
188	361	1549
189	362	1545
190	363	1539
191	364	1534
192	365	1529
193	366	1524
194	367	1518
195	368	1513
196	370	1508
197	371	1504
198	372	1501
199	373	1495
200	374	1489
201	375	1485
202	377	1481
203	378	1476
204	379	1472
205	380	1468
206	381	1462
207	383	1458
208	384	1453
209	385	1450
210	386	1445
211	387	1441
212	388	1435
213	389	1429
214	390	1424
215	390	1419
216	391	1413
217	392	1408
218	393	1402
219	394	1397
220	395	1392
221	395	1387
222	396	1382
223	397	1376
224	398	1371
225	399	1367
226	400	1364
227	401	1360
228	402	1356
229	403	1351
230	404	1346
231	405	1341
232	406	1336
233	407	1332
234	407	1327
235	408	1322
236	409	1317
237	409	1311
238	410	1306
239	411	1302
240	411	1297
241	412	1292
242	415	1294
243	417	1292
244	418	1289
245	419	1284
246	420	1280
247	420	1276
248	421	1271
249	422	1267
250	423	1263
251	424	1258
252	424	1254
253	425	1250
254	426	1246
255	427	1241
256	428	1239
257	429	1236
258	430	1232
259	431	1228
260	432	1224
261	433	1220
262	434	1216
263	434	1212
264	435	1208
265	436	1204
266	437	1200
267	437	1196
268	438	1192
269	439	1188
270	440	1184
271	441	1181
272	443	1180
273	444	1177
274	445	1174
275	446	1170
276	447	1167
277	447	1163
278	448	1160
279	449	1156
280	450	1153
281	451	1150
282	452	1147
283	453	1144
284	455	1142
285	456	1140
286	458	1140
287	460	1138
288	461	1135
289	462	1132
290	463	1129
291	464	1126
292	466	1125
293	467	1123
294	469	1121
295	471	1121
296	473	1120
297	474	1117
298	475	1114
299	476	1112
300	477	1109
301	478	1106
302	479	1103
303	480	1101
304	482	1098
305	483	1096
306	484	1093
307	485	1090
308	487	1089
309	488	1087
310	489	1084
311	490	1081
312	491	1079
313	492	1076
314	493	1073
315	494	1071
316	495	1068
317	496	1065
318	497	1063
319	499	1060
320	501	1060
321	502	1058
322	503	1056
323	505	1053
324	506	1051
325	507	1049
326	508	1046
327	509	1043
328	510	1040
329	511	1038
330	512	1035
331	513	1033
332	514	1031
333	516	1029
334	517	1027
335	518	1024
336	519	1021
337	520	1019
338	521	1016
339	522	1013
340	523	1011
341	524	1008
342	525	1005
343	526	1003
344	527	1000
345	528	998
346	530	997
347	531	995
348	532	993
349	533	991
350	534	989
351	535	986
352	536	984
353	537	981
354	538	978
355	539	976
356	540	974
357	541	971
358	542	968
359	543	966
360	545	965
361	546	963
362	548	961
363	549	959
364	550	956
365	550	954
366	552	952
367	553	949
368	553	947
369	554	944
370	556	942
371	556	940
372	558	938
373	559	936
374	560	934
375	562	933
376	563	931
377	564	928
378	565	926
379	566	924
380	567	921
381	568	919
382	569	916
383	570	914
384	571	912
385	573	911
386	575	911
387	577	910
388	578	907
389	579	905
390	580	903
391	580	901
392	582	899
393	583	896
394	584	894
395	585	892
396	586	890
397	587	888
398	589	887
399	590	885
400	591	883
401	592	881
402	593	879
403	594	877
404	595	875
405	596	873
406	597	870
407	598	868
408	599	866
409	600	864
410	601	862
411	603	860
412	604	858
413	605	856
414	606	854
415	607	852
416	608	850
417	608	847
418	609	845
419	610	843
420	611	840
421	611	838
422	612	835
423	613	833
424	614	830
425	615	828
426	616	827
427	617	825
428	618	823
429	619	821
430	620	819
431	621	816
432	621	814
433	622	812
434	623	810
435	624	807
436	625	805
437	625	803
438	626	801
439	627	798
440	628	796
441	629	794
442	630	792
443	632	791
444	633	789
445	634	787
446	635	785
447	636	783
448	637	781
449	637	779
450	638	777
451	639	775
452	640	773
453	641	770
454	641	768
455	642	766
456	643	764
457	644	762
458	646	761
459	647	759
460	648	758
461	649	756
462	650	754
463	650	751
464	651	749
465	652	747
466	653	745
467	654	743
468	655	741
469	655	739
470	656	737
471	657	735
472	658	733
473	659	732
474	660	730
475	661	728
476	662	726
477	663	724
478	664	722
479	665	720
480	665	718
481	666	716
482	667	714
483	668	712
484	669	710
485	670	708
486	670	706
487	671	704
488	672	702
489	673	701
490	674	699
491	676	698
492	677	696
493	677	694
494	678	692
495	679	690
496	680	688
497	681	686
498	681	684
499	682	682
500	683	680
501	684	678
502	684	676
503	685	674
504	687	673
505	688	671
506	689	670
507	690	668
508	691	667
509	692	665
510	693	663
511	694	661
512	695	660
513	696	658
514	696	656
515	697	654
516	698	652
517	699	650
518	700	648
519	701	647
520	702	645
521	703	643
522	704	642
523	705	640
524	706	639
525	707	637
526	707	635
527	709	633
528	709	632
529	710	630
530	711	628
531	712	627
532	713	625
533	714	623
534	715	622
535	716	620
536	718	619
537	719	617
538	720	616
539	721	614
540	722	612
541	723	611
542	724	609
543	725	607
544	726	606
545	727	605
546	729	604
547	731	603
548	733	602
549	734	600
550	735	599
551	736	597
552	737	596
553	738	594
554	739	593
555	740	591
556	741	590
557	742	588
558	743	586
559	744	585
560	746	584
561	747	582
562	748	581
563	749	579
564	750	577
565	751	576
566	752	574
567	753	573
568	754	571
569	755	569
570	756	568
571	757	566
572	758	565
573	759	563
574	761	562
575	762	561
576	764	560
577	765	558
578	766	556
579	766	555
580	767	553
581	768	552
582	769	550
583	770	549
584	772	547
585	772	546
586	773	544
587	775	543
588	777	542
589	778	540
590	779	539
591	780	537
592	781	536
593	782	534
594	783	533
595	784	531
596	785	530
597	786	528
598	787	527
599	788	525
600	789	524
601	791	523
602	792	521
603	793	520
604	794	518
605	795	516
606	796	515
607	797	513
608	797	512
609	798	510
610	799	509
611	800	507
612	801	506
613	802	504
614	803	503
615	805	502
616	806	500
617	807	499
618	808	497
619	809	496
620	810	494
621	811	493
622	812	491
623	813	490
624	814	488
625	815	487
626	816	485
627	817	484
628	818	482
629	819	481
630	821	480
631	822	479
632	824	477
633	827	477
634	828	476
635	830	475
636	831	473
637	833	473
638	836	472
639	838	471
640	839	470
641	841	469
642	843	468
643	845	467
644	846	465
645	847	464
646	851	464
647	855	464
648	856	463
649	857	461
650	858	460
651	860	459
652	862	458
653	863	457
654	865	455
655	867	454
656	868	453
657	870	452
658	871	450
659	872	449
660	873	448
661	874	446
662	876	445
663	880	445
664	882	444
665	883	443
666	884	441
667	885	440
668	886	438
669	888	437
670	889	436
671	890	434
672	892	433
673	897	434
674	899	432
675	900	431
676	901	430
677	902	428
678	903	427
679	904	425
680	906	424
681	906	422
682	907	421
683	909	420
684	910	418
685	911	417
686	912	415
687	913	414
688	914	412
689	915	411
690	916	409
691	917	408
692	918	406
693	919	405
694	920	403
695	921	402
696	921	400
697	923	399
698	924	398
699	925	396
700	926	395
701	927	393
702	928	392
703	929	390
704	930	389
705	931	387
706	932	386
707	933	384
708	934	383
709	935	382
710	936	380
711	937	379
712	939	378
713	941	377
714	942	375
715	944	374
716	946	373
717	947	372
718	948	370
719	949	369
720	950	367
721	953	366
722	954	365
723	956	364
724	958	363
725	959	361
726	960	360
727	961	359
728	962	357
729	963	356
730	964	354
731	965	353
732	967	352
733	969	351
734	970	349
735	971	348
736	972	347
737	974	345
738	975	344
739	976	343
740	979	342
741	980	341
742	983	340
743	985	339
744	987	337
745	988	336
746	989	335
747	990	333
748	992	332
749	994	331
750	1000	331
751	1002	330
752	1004	329
753	1005	327
754	1006	326
755	1008	325
756	1010	324
757	1012	323
758	1013	321
759	1014	320
760	1016	319
761	1017	317
762	1018	316
763	1019	314
764	1020	313
765	1021	312
766	1023	310
767	1024	309
768	1026	308
769	1028	307
770	1029	305
771	1030	304
772	1031	302
773	1032	301
774	1033	299
775	1034	298
776	1035	297
777	1035	295
778	1036	294
779	1037	292
780	1038	291
781	1040	289
782	1041	288
783	1042	287
784	1043	285
785	1044	284
786	1045	282
787	1046	281
788	1047	280
789	1047	278
790	1048	277
791	1049	275
792	1050	274
793	1051	272
794	1052	271
795	1053	270
796	1055	268
797	1056	267
798	1057	266
799	1058	264
800	1059	263
801	1060	261
802	1061	260
803	1062	258
804	1062	257
805	1063	256
806	1064	254
807	1065	253
808	1066	251
809	1067	250
810	1068	249
811	1071	248
812	1072	246
813	1073	245
814	1074	243
815	1075	242
816	1076	241
817	1077	239
818	1078	238
819	1079	236
820	1080	235
821	1081	234
822	1083	232
823	1085	231
824	1087	230
825	1088	229
826	1090	228
827	1091	226
828	1092	225
829	1093	223
830	1094	222
831	1095	221
832	1096	219
833	1097	218
834	1100	217
835	1101	216
836	1102	214
837	1103	213
838	1104	211
839	1105	210
840	1106	209
841	1107	207
842	1108	206
843	1109	205
844	1110	203
845	1111	202
846	1113	201
847	1114	199
848	1116	198
849	1117	197
850	1118	195
851	1119	194
852	1120	193
853	1121	191
854	1122	190
855	1123	188
856	1124	187
857	1129	186
858	1130	185
859	1132	184
860	1133	182
861	1134	181
862	1135	180
863	1136	178
864	1137	177
865	1138	176
866	1139	174
867	1140	173
868	1141	172
869	1143	170
870	1144	169
871	1145	168
872	1146	166
873	1147	165
874	1148	164
875	1149	162
876	1151	161
877	1152	160
878	1153	158
879	1154	157
880	1155	156
881	1157	154
882	1158	153
883	1160	152
884	1161	150
885	1162	149
886	1163	148
887	1165	146
888	1166	145
889	1167	144
890	1168	142
891	1169	141
892	1171	140
893	1172	139
894	1173	137
895	1175	136
896	1176	135
897	1177	133
898	1178	132
899	1180	131
900	1181	129
901	1183	128
902	1184	127
903	1185	125
904	1186	124
905	1187	123
906	1188	121
907	1189	120
908	1191	119
909	1192	117
910	1193	116
911	1194	115
912	1195	113
913	1196	112
914	1197	111
915	1198	109
916	1202	108
917	1203	107
918	1204	106
919	1206	104
920	1207	103
921	1208	102
922	1209	100
923	1210	99
924	1211	98
925	1212	96
926	1214	95
927	1216	94
928	1218	93
929	1220	91
930	1221	90
931	1222	89
932	1223	87
933	1224	86
934	1225	85
935	1226	83
936	1227	82
937	1229	81
938	1231	79
939	1232	78
940	1233	77
941	1234	76
942	1235	74
943	1236	73
944	1237	72
945	1238	70
946	1239	69
947	1240	68
948	1241	66
949	1242	65
950	1243	64
951	1245	62
952	1246	61
953	1247	60
954	1248	58
955	1249	57
956	1250	56
957	1251	54
958	1252	53
959	1253	52
960	1254	50
961	1255	49
962	1256	48
963	1257	46
964	1258	45
965	1260	44
966	1261	43
967	1262	41
968	1263	40
969	1264	39
970	1265	37
971	1266	36
972	1267	35
973	1268	33
974	1269	32
975	1270	31
976	1270	29
977	1271	28
978	1273	27
